policy,run_dir,seed,execution_mode,lowpass_alpha,interpolation_steps,primary_collision_padding,success_rate,success_ci_low,success_ci_high,smoothness_mean,smoothness_bootstrap_ci_low,smoothness_bootstrap_ci_high,finite_difference_acceleration_mean,squared_jerk_mean,mean_abs_turn_rate,min_clearance_padded_mean,min_clearance_unpadded_mean,action_target_jump_mean,path_length_mean,collision_rate,collision_rate_padded,collision_rate_unpadded,endpoint_error,hf_residual_energy_mean,mean_num_model_steps_to_success
cotrain,runs/maze2d_cotrain_seed1_20260701_213343,1,filtered,0.35,4,padded,0.411,0.3803055869541202,0.4422199476628656,21.2400447255378,20.384915385211595,22.12877832776581,12.283924287833146,39373.16078590709,2.8924337869142964,-inf,-inf,0.06703113127499818,5.79133763829577,0.499,0.499,0.007,1.2092507086992264,0.6893168456985004,575.9586374695864
cotrain,runs/maze2d_cotrain_seed2_20260701_213343,2,filtered,0.35,4,padded,0.427,0.3960959112874336,0.45833509741389966,17.367085508487218,16.627162231905086,18.2467539705316,10.039638700474063,32179.542530783445,2.553704823208079,-inf,-inf,0.06418343833647669,5.717323131248599,0.461,0.461,0.006,1.2536828380972147,0.6807232722507324,564.8688524590164
cotrain,runs/maze2d_cotrain_seed0_20260701_213343,0,filtered,0.35,4,padded,0.377,0.3468623546595491,0.40786417678951004,16.527757917363783,15.644241407649487,17.439282535389758,9.549975004373241,30607.38113265708,2.64695811809216,-inf,-inf,0.06515063437633216,5.4300303573001285,0.508,0.508,0.022,1.3374693591743707,0.6876915488375671,565.2307692307693
sr_freqmask,runs/maze2d_sr_freqmask_seed0_20260701_213343,0,filtered,0.35,4,padded,0.481,0.44962757811660675,0.5124845789334569,30.30029550948882,28.910074899255424,31.845326968793447,17.5150256563373,56092.93822683862,4.422903021754941,-inf,-inf,0.06940229422226549,5.895958715813571,0.46,0.46,0.01,1.2075839433968067,0.7119197875393657,584.927234927235
sr_freqmask_shuffled_clean_stats,runs/maze2d_sr_freqmask_shuffled_clean_stats_seed1_20260701_213343,1,filtered,0.35,4,padded,0.447,0.41587977279600385,0.4784331181226719,28.083058570694693,26.333295387246064,30.279192129744896,16.239545594925847,52019.28347402824,3.9182161820814914,-inf,-inf,0.07184657260775566,5.735046913693148,0.497,0.497,0.001,1.2960349683016539,0.713139004766941,571.7628635346756
sr_freqmask,runs/maze2d_sr_freqmask_seed2_20260701_213343,2,filtered,0.35,4,padded,0.48,0.4486329426945337,0.5114851175478413,29.20280514232015,27.676663196359282,30.955921221694762,16.896488938728968,54123.19084472656,4.381944377720356,-inf,-inf,0.06996549236774445,5.939453244705995,0.445,0.445,0.001,1.1914306319057941,0.7094141039782117,601.55
sr_freqmask,runs/maze2d_sr_freqmask_seed1_20260701_213343,1,filtered,0.35,4,padded,0.449,0.4178609383862796,0.4804401427121303,28.47639291089436,27.18181597882711,29.749803198640958,16.4716781582227,52777.41605042455,3.9853518449915013,-inf,-inf,0.07251753854565322,5.624574853476544,0.511,0.511,0.01,1.3848618141263724,0.720829399618815,555.6659242761692
sr_freqmask_shuffled_clean_stats,runs/maze2d_sr_freqmask_shuffled_clean_stats_seed2_20260701_213343,2,filtered,0.35,4,padded,0.464,0.4327356593739407,0.49547685692812565,28.377247789062313,26.94872567917333,29.815577937056304,16.42168132909413,52621.11435462689,4.205537120586839,-inf,-inf,0.07014053544402123,5.813713548512294,0.464,0.464,0.001,1.2201969764828682,0.7063383627798757,576.1163793103449
sr_freqmask_shuffled_clean_stats,runs/maze2d_sr_freqmask_shuffled_clean_stats_seed0_20260701_213343,0,filtered,0.35,4,padded,0.479,0.4476384312327393,0.5104855322311781,31.52197047155655,30.171021813579102,33.00937694909825,18.22338326440226,58346.663783190896,4.33299178942758,-inf,-inf,0.0714703674223274,5.965823031666384,0.439,0.439,0.006,1.2009802520424127,0.7184294363856316,575.455114822547
ambient_sampler_x0_mse,runs/maze2d_ambient_sampler_x0_mse_seed0_20260701_213343,0,filtered,0.35,4,padded,0.284,0.2562211950237551,0.31305668219594635,16.129811127030898,15.369639776598525,16.99902580243042,9.318685775911304,29859.377011581208,2.7272809878201554,-inf,-inf,0.06802310430444777,4.891164956798016,0.647,0.647,0.017,1.7319718862622977,0.6897600604097097,526.806338028169
ambient_sampler_x0_mse,runs/maze2d_ambient_sampler_x0_mse_seed1_20260701_213343,1,filtered,0.35,4,padded,0.319,0.2901806065772735,0.3488894172992221,19.64863056602736,18.637548964581693,20.686174983762598,11.357964640874474,36403.330736309756,2.705363403106558,-inf,-inf,0.0682126996126026,5.062889863331116,0.605,0.605,0.023,1.5209718299508095,0.6907386595341959,522.6238244514107
ambient_sampler_x0_mse,runs/maze2d_ambient_sampler_x0_mse_seed2_20260701_213343,2,filtered,0.35,4,padded,0.278,0.25041975045140225,0.3068938177281915,18.19034975540622,17.033516937419424,19.38405232846242,10.52105401574279,33726.718771076885,2.674293403145221,-inf,-inf,0.06824513544514775,4.829586890961626,0.612,0.612,0.004,1.6000497402101754,0.6920843995809555,525.4856115107914
ambient_scalar_ambient_loss,runs/maze2d_ambient_scalar_ambient_loss_seed1_20260701_213343,1,filtered,0.35,4,padded,0.091,0.0738991299424797,0.11055149410186922,19.131376901443133,17.157286903707195,21.232379182498363,11.062673909323555,35491.18904532967,2.8040938678678575,-inf,-inf,0.07303448656573891,3.065303771050422,0.842,0.842,0.018,2.312347770541906,0.7111585470305872,371.8901098901099
ambient_scalar_ambient_loss,runs/maze2d_ambient_scalar_ambient_loss_seed2_20260701_213343,2,filtered,0.35,4,padded,0.121,0.10142580723074804,0.14283576268156783,22.56114914443836,21.075321264019955,24.154887158236026,13.040260098197244,41821.035600142044,2.955083375134744,-inf,-inf,0.07469892776198685,3.3859331410778455,0.82,0.82,0.007,2.182946471258998,0.716071647465229,374.8264462809917
ambient_scalar_ambient_loss,runs/maze2d_ambient_scalar_ambient_loss_seed0_20260701_213343,0,filtered,0.35,4,padded,0.109,0.09035814767691948,0.12997836534293514,21.20501622584076,18.942209949617116,23.82153738885763,12.224921887074041,39153.763725630735,2.626530034826436,-inf,-inf,0.0717460048245266,3.062905466884648,0.831,0.831,0.012,2.220025107651949,0.70751772748433,360.7522935779817
