evaluation,policy,n,success_rate_mean,success_rate_std,collision_rate_mean,collision_rate_std,collision_rate_padded_mean,collision_rate_padded_std,collision_rate_unpadded_mean,collision_rate_unpadded_std,smoothness_mean_mean,smoothness_mean_std,hf_residual_energy_delta_mean_mean,hf_residual_energy_delta_mean_std,hf_residual_energy_absolute_mean_mean,hf_residual_energy_absolute_mean_std,action_target_jump_mean_mean,action_target_jump_mean_std,endpoint_error_mean,endpoint_error_std,out_of_bounds_rate_mean,out_of_bounds_rate_std
filtered_padded_fixedcadence,sr_freqmask,3,0.48833333333333334,0.025423086620891117,0.4433333333333333,0.03707200201409864,0.4433333333333333,0.03707200201409864,0.004666666666666667,0.00404145188432738,33.340741352586065,0.2456313611936142,0.7179160069116672,0.007761917367391571,0.01869237083424582,0.00075434613113535,0.07233445445758602,0.0023310152589785717,1.1852135237058004,0.10220954914504295,0.004666666666666667,0.00404145188432738
filtered_padded_fixedcadence,sr_freqmask_shuffled_clean_stats,3,0.45733333333333337,0.008962886439832509,0.4713333333333333,0.003055050463303866,0.4713333333333333,0.003055050463303866,0.004,0.0026457513110645908,33.26760879014337,1.9553142192666937,0.7162955295167582,0.005641647953858012,0.018992577753359028,0.0013459714124091817,0.07325355547200889,0.0009178464942359071,1.212392304038008,0.030491593508695798,0.004,0.0026457513110645908
filtered_padded_fixedcadence,cotrain,3,0.419,0.014798648586948723,0.4666666666666667,0.019553345834749943,0.4666666666666667,0.019553345834749943,0.009,0.00793725393319377,23.18165227975655,2.1694846940861643,0.6893016338812012,0.004748714312987013,0.013838722854254049,0.0003570248629370091,0.06738439720124006,0.00196394281955987,1.1960036221295596,0.04058524539929521,0.009,0.00793725393319377
filtered_padded_fixedcadence,ambient_sampler_x0_mse,3,0.309,0.019697715603592226,0.5983333333333333,0.007094598884597594,0.5983333333333333,0.007094598884597594,0.016333333333333335,0.009018499505645788,22.091711282208646,1.6365283401059023,0.6935570718226663,0.0012499467539391668,0.012874786159824604,0.00024887090208514806,0.07014340415100256,0.0007212135350726803,1.5439105468938747,0.0854592089123578,0.016333333333333335,0.009018499505645788
filtered_padded_fixedcadence,ambient_scalar_ambient_loss,3,0.10566666666666667,0.020599352740640498,0.8313333333333333,0.011015141094572214,0.8313333333333333,0.011015141094572214,0.011666666666666665,0.006506407098647711,22.75176688094839,1.7777045925656045,0.7149104370287144,0.0036945132375918867,0.010901620566475183,0.000223755984478984,0.07489700528172155,0.001218356045772517,2.2383077079355718,0.06037631621921635,0.011666666666666665,0.006506407098647711
raw_padded_fixedcadence,sr_freqmask,3,0.5436666666666666,0.031085902485424685,0.40700000000000003,0.03119294792096444,0.40700000000000003,0.03119294792096444,0.011333333333333332,0.007505553499465135,322.87848993444203,11.58027893286202,0.7891729821672925,0.0036147316237035367,0.03614051012255889,0.0012078043367624424,0.07319411865870158,0.0015640963556462144,1.0740917806774377,0.061588849315377156,0.011333333333333332,0.007505553499465135
raw_padded_fixedcadence,sr_freqmask_shuffled_clean_stats,3,0.535,0.00793725393319378,0.422,0.018330302779823344,0.422,0.018330302779823344,0.01,0.0052915026221291815,349.90395314541547,31.634294831659567,0.7848407914086662,0.00851486027199302,0.03677496571374903,0.0024751483762994065,0.07336218037518362,0.0017068186517436473,1.0727217117572825,0.010189714948555613,0.01,0.0052915026221291815
raw_padded_fixedcadence,cotrain,3,0.5306666666666667,0.014011899704655814,0.3833333333333333,0.03608785575970583,0.3833333333333333,0.03608785575970583,0.016,0.007000000000000001,111.88329980016562,12.154921404476019,0.7422749896005334,0.007544024223035529,0.025475929322506585,0.0002885046427726054,0.06363492012334367,0.0009951421131422528,0.9577805508896708,0.05181066000122161,0.016,0.007000000000000001
raw_padded_fixedcadence,ambient_sampler_x0_mse,3,0.4083333333333333,0.012897028081435382,0.507,0.01587450786638756,0.507,0.01587450786638756,0.019666666666666666,0.005686240703077327,121.30935174396653,4.122105669217801,0.751014673937248,0.001673245531615425,0.025194161252577885,0.0009309947903636126,0.06687526100315154,0.001328615835649931,1.244700920201838,0.03263836422363165,0.019666666666666666,0.005686240703077327
raw_padded_fixedcadence,ambient_scalar_ambient_loss,3,0.129,0.01199999999999999,0.8083333333333333,0.01800925687898676,0.8083333333333333,0.01800925687898676,0.015333333333333334,0.012342339054382413,198.6813225358217,18.87849669928336,0.7657205699505673,0.007497056314819322,0.022250488439494044,0.0007559736343010257,0.07472156882906954,0.0010614322764645493,2.147102875163158,0.07940009121089837,0.015333333333333334,0.012342339054382413
