policy,run_dir,seed,execution_mode,lowpass_alpha,interpolation_steps,primary_collision_padding,success_rate,success_ci_low,success_ci_high,smoothness_mean,smoothness_bootstrap_ci_low,smoothness_bootstrap_ci_high,finite_difference_acceleration_mean,squared_jerk_mean,mean_abs_turn_rate,out_of_bounds_rate,min_clearance_padded_success_only,min_clearance_unpadded_success_only,min_clearance_padded_collision_free_only,min_clearance_unpadded_collision_free_only,min_clearance_padded_all_finite_clipped,min_clearance_unpadded_all_finite_clipped,action_target_jump_mean,path_length_mean,collision_rate,collision_rate_padded,collision_rate_unpadded,endpoint_error,hf_residual_energy_absolute_mean,hf_residual_energy_delta_mean,hf_residual_energy_mean,mean_num_model_steps_to_success
cotrain,runs/maze2d_cotrain_seed1_20260701_213343,1,raw,0.35,4,padded,0.517,0.4855168699768703,0.5483827792758835,125.8397088024869,115.56939022755742,138.3017510271789,73.00467502955541,233980.11019856142,5.478689388795332,0.013,0.08588482981124454,0.20259851243729943,0.08462442669373656,0.1612809242524477,0.044952790342108334,0.15788427223716586,0.06477724024280905,6.877470770933642,0.425,0.425,0.013,1.017236137509346,0.025305629748860952,0.7341029786136496,0.7341029786136496,467.39458413926496
cotrain,runs/maze2d_cotrain_seed2_20260701_213343,2,raw,0.35,4,padded,0.53,0.49851631792397877,0.5613065880589609,103.61819974421682,99.92109810530765,107.6429320136494,60.07329395582091,192533.43489829008,4.978141390152698,0.011,0.08195246232821869,0.19891781650890855,0.0869089021493185,0.1692758139383113,0.052258255570258,0.1663137799849899,0.06317163213528693,6.772714541093358,0.363,0.363,0.011,0.922297811485827,0.02531312050328106,0.7437483376727978,0.7437483376727978,459.7377358490566
cotrain,runs/maze2d_cotrain_seed0_20260701_213343,0,raw,0.35,4,padded,0.545,0.513541794662829,0.5761925519209223,106.19199085379314,101.27378749666276,110.89640863673974,61.54159300917879,197177.41205561926,5.046255306803852,0.024,0.08581408035911263,0.2011316199339207,0.08249302545214918,0.1659898711538945,0.04808040182290568,0.15960611424620103,0.06295588799193501,6.776885900803662,0.362,0.362,0.024,0.9338077036738396,0.02580903771537774,0.7489736525151529,0.7489736525151529,468.7559633027523
sr_freqmask,runs/maze2d_sr_freqmask_seed0_20260701_213343,0,raw,0.35,4,padded,0.558,0.5265866448912515,0.5890709382229895,333.03744903735094,316.3112989307169,351.8051099877504,193.28957119466583,619572.0443268369,8.477400513105495,0.011,0.08188875416128691,0.1959578292257636,0.07975728405730731,0.15948476887547802,0.04484066729139274,0.15663043641784774,0.07178837787359953,7.4640030869446345,0.39,0.39,0.011,1.0377723919153214,0.0370743585628351,0.7872967040074873,0.7872967040074873,457.9193548387097
sr_freqmask_shuffled_clean_stats,runs/maze2d_sr_freqmask_shuffled_clean_stats_seed1_20260701_213343,1,raw,0.35,4,padded,0.526,0.4945142544123377,0.5573322655259105,325.6663908998048,303.42532682361025,352.42569925530586,188.71167423697932,604527.5205560836,8.35249923662541,0.014,0.08181783245743576,0.19763682925553566,0.08082811514074499,0.15695600678201616,0.041389331160968636,0.15335862268706796,0.07474202586524188,7.179744181524211,0.438,0.438,0.014,1.0710518904551865,0.03409586326715848,0.78479827111958,0.78479827111958,446.65589353612165
sr_freqmask,runs/maze2d_sr_freqmask_seed2_20260701_213343,2,raw,0.35,4,padded,0.565,0.533619613678694,0.5959966293684238,325.3289189230666,308.2332973587362,346.00990099626955,188.62196834868035,604169.1228705752,8.118089207505758,0.004,0.08287058155527648,0.1983773672729339,0.08288912069642049,0.1621027813647422,0.047428693030359584,0.16105437023928323,0.07291499259322881,7.514043611340818,0.388,0.388,0.004,1.039299960821867,0.0365706570444421,0.7868821941944916,0.7868821941944916,475.04601769911505
sr_freqmask,runs/maze2d_sr_freqmask_seed1_20260701_213343,1,raw,0.35,4,padded,0.508,0.47652951825712453,0.5394232582990013,310.26910184290847,293.8295914442507,327.29504925881884,179.98055331913505,576775.4956631397,7.8674705554181195,0.019,0.08391695978528563,0.20007224623187167,0.08149065796775708,0.1572608273615633,0.04050465481781363,0.1523728716416936,0.0748789855092764,7.013558699859409,0.443,0.443,0.019,1.145202989295125,0.03477651476039947,0.7933400482998987,0.7933400482998987,435.2244094488189
sr_freqmask_shuffled_clean_stats,runs/maze2d_sr_freqmask_shuffled_clean_stats_seed2_20260701_213343,2,raw,0.35,4,padded,0.538,0.5065264142896462,0.5692492615713335,338.3555831555716,320.8505756568333,358.11858418194026,196.3961167246879,629382.5106586895,8.444417042359987,0.004,0.08498974107062558,0.1999023540727686,0.08620198387377631,0.15996261597609787,0.046022616002992775,0.15892276551219345,0.0714535494092852,7.516871426185268,0.426,0.426,0.004,1.0836432007849217,0.03725244556807189,0.7763472709059861,0.7763472709059861,465.6672862453532
sr_freqmask_shuffled_clean_stats,runs/maze2d_sr_freqmask_shuffled_clean_stats_seed0_20260701_213343,0,raw,0.35,4,padded,0.541,0.5095322565003761,0.572225707180464,385.68988538087007,364.233426110235,410.27011753442207,223.63466140126565,716589.3729205176,8.563000174855569,0.012,0.08343830425225592,0.19820628916376928,0.08116862099163977,0.15923941095865912,0.04422079967890542,0.15612853802715523,0.0738909658510238,7.558930066949559,0.402,0.402,0.012,1.0634700440317393,0.038976588306016725,0.7933768322004325,0.7933768322004325,456.8373382624769
ambient_sampler_x0_mse,runs/maze2d_ambient_sampler_x0_mse_seed0_20260701_213343,0,raw,0.35,4,padded,0.419,0.38819662922677933,0.4502816384002601,124.08088912723437,118.92516797570552,129.28449146000892,71.91823340258905,230390.56307801313,5.259676295419297,0.018,0.08212479327046807,0.20378872035250453,0.07859807137433729,0.15450517196406205,0.03481929728357229,0.14992407886870893,0.06637632602453232,6.353878625537444,0.501,0.501,0.018,1.2484532443806529,0.025347078712993607,0.7523203232818196,0.7523203232818196,454.1145584725537
ambient_sampler_x0_mse,runs/maze2d_ambient_sampler_x0_mse_seed1_20260701_213343,1,raw,0.35,4,padded,0.412,0.3812915143086222,0.4432281114624896,123.2748052992239,118.17019634736631,129.3015056833878,71.4789506717793,229052.15764373483,5.080910702932228,0.026,0.09452344954591034,0.2135476440070983,0.08842692574485861,0.15636136573414275,0.0367214287211174,0.14969597022505501,0.0683811193369329,6.115271806138233,0.525,0.525,0.026,1.2753009473383428,0.024196174721699208,0.749128475659425,0.749128475659425,432.50728155339806
ambient_sampler_x0_mse,runs/maze2d_ambient_sampler_x0_mse_seed2_20260701_213343,2,raw,0.35,4,padded,0.394,0.3635648097272305,0.42506119827106315,116.5723608054413,110.5616255245818,123.28483339734987,67.6228475473859,216766.32595375951,4.949231108433099,0.015,0.08601321285893444,0.20556069753260764,0.08741851760351711,0.15938057450067392,0.040181045799146546,0.15548986588316382,0.0658683376479894,6.036601134968288,0.495,0.495,0.015,1.2103485688865185,0.02603923032304084,0.7515952228704992,0.7515952228704992,443.4695431472081
ambient_scalar_ambient_loss,runs/maze2d_ambient_scalar_ambient_loss_seed1_20260701_213343,1,raw,0.35,4,padded,0.117,0.09772900249506662,0.13855746639058336,180.1892060419468,166.84209553538224,195.79044616937603,104.73376761542426,336145.80595619656,5.065371142493354,0.029,0.13618213473838645,0.24925742703459583,0.14446653509432802,0.13004592351849228,0.016473068986273973,0.12337459173645601,0.07411105406843126,3.6910562474503474,0.826,0.826,0.029,2.235775677919388,0.022135191662832825,0.758034193257452,0.758034193257452,306.03418803418805
ambient_scalar_ambient_loss,runs/maze2d_ambient_scalar_ambient_loss_seed2_20260701_213343,2,raw,0.35,4,padded,0.141,0.12001151279686954,0.16412655895160863,197.9309385002482,186.59705007523866,211.11556603060671,114.80069140170482,368213.86181294324,5.283674820940545,0.005,0.1278220669477179,0.24278473734515238,0.1183637026297203,0.1310884373069115,0.018935350726336352,0.12993299512037695,0.07594720236770809,3.755804234362663,0.79,0.79,0.005,2.0825866565704345,0.023057487297049137,0.7730127528442681,0.7730127528442681,293.87943262411346
ambient_scalar_ambient_loss,runs/maze2d_ambient_scalar_ambient_loss_seed0_20260701_213343,0,raw,0.35,4,padded,0.129,0.10884057120623476,0.1513714153149562,217.92382306527008,199.63752163407997,238.92005845218935,126.12103407512339,403863.42320736434,5.402875151745109,0.012,0.15980343284622991,0.27290585481143464,0.1438604275061016,0.13313220713047982,0.02093082540210135,0.13033462064491408,0.07410645005106926,3.554840928824373,0.809,0.809,0.012,2.122946290999651,0.021558786358600174,0.7661147637499817,0.7661147637499817,292.0077519379845
